[MASTER] 21:04:26.178 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:26.327 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:26.647 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:26.649 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 10), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:26.807 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 21), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:27.488 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:27.921 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:28.279 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:28.377 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
[MASTER] 21:04:28.910 [TEST_EXECUTION_THREAD_0] ERROR AbstractStatement - Error assigning value of type FileAttribute[] defined at statement FileAttribute<DatagramChannel>[] fileAttributeArray0 = (FileAttribute<DatagramChannel>[]) Array.newInstance(FileAttribute.class, 9), assignment statement: fileAttributeArray0[0] = (FileAttribute<DatagramChannel>) fileAttributeArray0; SUT=org.asynchttpclient.request.body.multipart.part.MultipartPart
